Irish (Ability) Code,Irish (Ability) Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Religion or Religion Brought Up In Code,Religion or Religion Brought Up In Label,National Identity - 8 Categories Code,National Identity - 8 Categories Label,Count
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,1,British only,1246
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,2,Irish only,52675
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,3,Northern Irish only,8686
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,4,British and Irish only,357
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,5,British and Northern Irish only,161
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,6,Irish and Northern Irish only,2185
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,1,Catholic,7,"British, Irish and Northern Irish only",452
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),1,British only,1054
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),2,Irish only,1110
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,727
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),4,British and Irish only,60
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,213
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,125
1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",124
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,1,Catholic,7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),1,British only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),2,Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),4,British and Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",0
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,1,British only,23
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,2,Irish only,1158
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,3,Northern Irish only,199
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,4,British and Irish only,10
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,5,British and Northern Irish only,10
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,6,Irish and Northern Irish only,98
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1,Catholic,7,"British, Irish and Northern Irish only",18
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),1,British only,15
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),2,Irish only,68
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,51
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),4,British and Irish only,2
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,1
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,11
1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",10
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,1,British only,35
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,2,Irish only,3469
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,3,Northern Irish only,195
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,4,British and Irish only,14
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,5,British and Northern Irish only,2
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,6,Irish and Northern Irish only,58
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1,Catholic,7,"British, Irish and Northern Irish only",5
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),1,British only,57
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),2,Irish only,38
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,27
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),4,British and Irish only,1
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,8
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,2
2,Speaks but does not read or write Irish,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",2
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,1,British only,35
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,2,Irish only,4234
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,3,Northern Irish only,302
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,4,British and Irish only,10
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,5,British and Northern Irish only,5
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,6,Irish and Northern Irish only,93
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1,Catholic,7,"British, Irish and Northern Irish only",14
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),1,British only,11
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),2,Irish only,61
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),3,Northern Irish only,18
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),4,British and Irish only,8
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),5,British and Northern Irish only,3
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),6,Irish and Northern Irish only,2
2,Speaks but does not read or write Irish,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,2,Protestant and Other Christian (including Christian related),7,"British, Irish and Northern Irish only",2
2,Speaks but does not read or write Irish,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1,Catholic,1,British only,210
